sharpsatbench.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,571,3311
sharpsatbench.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,2585,4320
specraytracer.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,0,198,3974
specraytracer.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,9213,9213
specraytracer.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,0,199,3677
specraytracer.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,8533,8533
specraytracer.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,0,194,4743
specraytracer.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,6044,8675
specraytracer.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,0,197,4739
specraytracer.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,3251,8393
strcat.pauses,results/sgen-nonlazy-conc/rconcurrent-only-non-forced,1,1480,1480
strcat.pauses,results/sgen-lazy-conc/rconcurrent-only-non-forced,1,1473,1473
strcat.pauses,results/sgen-nonlazy-nonconc/rconcurrent-only-non-forced,1,2428,105739
strcat.pauses,results/sgen-lazy-nonconc/rconcurrent-only-non-forced,1,2459,101362
